title,releaseTitle,group,releaseType,Release Date,Duration (ms)
=LOVE,=LOVE,=LOVE,single,2017-09-06,247826
記憶のどこかで,=LOVE,=LOVE,single,2017-09-06,261306
スタート！,=LOVE,=LOVE,single,2017-09-06,291840
僕らの制服クリスマス,僕らの制服クリスマス,=LOVE,single,2017-12-06,268946
届いてLOVE YOU,僕らの制服クリスマス,=LOVE,single,2017-12-06,254293
ようこそ！イコラブ沼,僕らの制服クリスマス,=LOVE,single,2017-12-06,243613
手遅れcaution,手遅れcaution,=LOVE,single,2018-05-16,256200
「部活中に目が合うなって思ってたんだ」,手遅れcaution,=LOVE,single,2018-05-16,283640
樹愛羅、助けに来たぞ,手遅れcaution,=LOVE,single,2018-05-16,249600
Want you！Want you！,Want you！Want you！,=LOVE,single,2018-10-17,236400
今、この船に乗れ！,Want you！Want you！,=LOVE,single,2018-10-17,226013
アイカツハッピーエンド,Want you！Want you！,=LOVE,single,2018-10-17,262092
探せ ダイヤモンドリリー,探せ ダイヤモンドリリー,=LOVE,single,2019-04-24,295813
いらない ツインテール,探せ ダイヤモンドリリー,=LOVE,single,2019-04-24,224680
虹の素,探せ ダイヤモンドリリー,=LOVE,single,2019-04-24,291680
ズルいよ ズルいね,ズルいよ ズルいね,=LOVE,single,2019-10-30,284546
Sweetest girl,ズルいよ ズルいね,=LOVE,single,2019-10-30,273266
推しのいる世界,ズルいよ ズルいね,=LOVE,single,2019-10-30,301266
CAMEO,CAMEO,=LOVE,single,2020-07-08,255706
「君と私の歌」,CAMEO,=LOVE,single,2020-07-08,323186
My Voice Is For You,CAMEO,=LOVE,single,2020-07-08,242626
"青春""サブリミナル""","青春""サブリミナル""",=LOVE,single,2020-11-25,309213
しゅきぴ,"青春""サブリミナル""",=LOVE,single,2020-11-25,234480
流星群,"青春""サブリミナル""",=LOVE,single,2020-11-25,281373
Overture,全部、内緒。 (Special Edition),=LOVE,album,2021-05-12,83386
桜の咲く音がした,全部、内緒。 (Special Edition),=LOVE,album,2021-05-12,274653
Oh！Darling,全部、内緒。 (Special Edition),=LOVE,album,2021-05-12,278546
セノビーインラブ,全部、内緒。 (Special Edition),=LOVE,album,2021-05-12,189306
現役アイドルちゅ～,全部、内緒。 (Special Edition),=LOVE,album,2021-05-12,284466
拝啓 貴方様,全部、内緒。 (Special Edition),=LOVE,album,2021-05-12,235213
24/7,全部、内緒。 (Special Edition),=LOVE,album,2021-05-12,215213
お姉さんじゃダメですか？,全部、内緒。 (Special Edition),=LOVE,album,2021-05-12,211613
cinema,全部、内緒。 (Special Edition),=LOVE,album,2021-05-12,253626
866,全部、内緒。 (Special Edition),=LOVE,album,2021-05-12,215566
ウィークエンドシトロン,ウィークエンドシトロン,=LOVE,single,2021-08-25,244240
ズッ友案件,ウィークエンドシトロン,=LOVE,single,2021-08-25,210466
夏祭り恋慕う,ウィークエンドシトロン,=LOVE,single,2021-08-25,288413
祝祭,ウィークエンドシトロン,=LOVE,single,2021-08-25,292533
The 5th,The 5th,=LOVE,single,2021-12-15,292506
お姫様にしてよ！,The 5th,=LOVE,single,2021-12-15,235253
Poison Girl,The 5th,=LOVE,single,2021-12-15,180000
BPM170の君へ,The 5th,=LOVE,single,2021-12-15,233893
あの子コンプレックス,あの子コンプレックス,=LOVE,single,2022-05-25,277586
笑顔のレシピ,あの子コンプレックス,=LOVE,single,2022-05-25,230586
知らんけど,あの子コンプレックス,=LOVE,single,2022-05-25,211373
僕のヒロイン,あの子コンプレックス,=LOVE,single,2022-05-25,251493
Be Selfish,Be Selfish(Special Edition),=LOVE,single,2022-09-28,206613
好きって、言えなかった,Be Selfish(Special Edition),=LOVE,single,2022-09-28,302586
わたし、魔法使い,Be Selfish(Special Edition),=LOVE,single,2022-09-28,210053
真夜中マーメイド,Be Selfish(Special Edition),=LOVE,single,2022-09-28,247426
