Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Record Label,Tempo
=LOVE,=LOVE,=LOVE,2017-09-06,247826,49,Sony Music Labels Inc.,158.031
記憶のどこかで,=LOVE,=LOVE,2017-09-06,261306,41,Sony Music Labels Inc.,144.04
スタート！,=LOVE,=LOVE,2017-09-06,291840,42,Sony Music Labels Inc.,158.007
僕らの制服クリスマス,僕らの制服クリスマス,=LOVE,2017-12-06,268946,48,Sony Music Labels Inc.,143.065
届いてLOVE YOU,僕らの制服クリスマス,=LOVE,2017-12-06,254293,40,Sony Music Labels Inc.,153.925
ようこそ！イコラブ沼,僕らの制服クリスマス,=LOVE,2017-12-06,243613,39,Sony Music Labels Inc.,122.596
手遅れcaution,手遅れcaution,=LOVE,2018-05-16,256200,52,Sony Music Labels Inc.,142.963
「部活中に目が合うなって思ってたんだ」,手遅れcaution,=LOVE,2018-05-16,283640,46,Sony Music Labels Inc.,159.022
樹愛羅、助けに来たぞ,手遅れcaution,=LOVE,2018-05-16,249600,42,Sony Music Labels Inc.,167.045
Want you！Want you！,Want you！Want you！,=LOVE,2018-10-17,236400,44,Sony Music Labels Inc.,141.036
今、この船に乗れ！,Want you！Want you！,=LOVE,2018-10-17,226013,40,Sony Music Labels Inc.,150.046
アイカツハッピーエンド,Want you！Want you！,=LOVE,2018-10-17,262092,40,Sony Music Labels Inc.,167.171
探せ ダイヤモンドリリー,探せ ダイヤモンドリリー,=LOVE,2019-04-24,295813,48,Sony Music Labels Inc.,165.039
いらない ツインテール,探せ ダイヤモンドリリー,=LOVE,2019-04-24,224680,49,Sony Music Labels Inc.,96.467
虹の素,探せ ダイヤモンドリリー,=LOVE,2019-04-24,291680,48,Sony Music Labels Inc.,128.003
ズルいよ ズルいね,ズルいよ ズルいね,=LOVE,2019-10-30,284546,49,Sony Music Labels Inc.,129.969
Sweetest girl,ズルいよ ズルいね,=LOVE,2019-10-30,273266,42,Sony Music Labels Inc.,132.014
推しのいる世界,ズルいよ ズルいね,=LOVE,2019-10-30,301266,43,Sony Music Labels Inc.,90.015
CAMEO,CAMEO,=LOVE,2020-07-08,255706,43,Sony Music Labels Inc.,158.02
「君と私の歌」,CAMEO,=LOVE,2020-07-08,323186,53,Sony Music Labels Inc.,173.948
My Voice Is For You,CAMEO,=LOVE,2020-07-08,242626,40,Sony Music Labels Inc.,154.014
"青春""サブリミナル""","青春""サブリミナル""",=LOVE,2020-11-25,309213,53,Sony Music Labels Inc.,161.967
しゅきぴ,"青春""サブリミナル""",=LOVE,2020-11-25,234480,52,Sony Music Labels Inc.,172.985
流星群,"青春""サブリミナル""",=LOVE,2020-11-25,281373,48,Sony Music Labels Inc.,125.031
Overture,全部、内緒。 (Special Edition),=LOVE,2021-05-12,83386,40,Sony Music Labels Inc.,142.019
桜の咲く音がした,全部、内緒。 (Special Edition),=LOVE,2021-05-12,274653,48,Sony Music Labels Inc.,126.978
Oh！Darling,全部、内緒。 (Special Edition),=LOVE,2021-05-12,278546,49,Sony Music Labels Inc.,90.036
セノビーインラブ,全部、内緒。 (Special Edition),=LOVE,2021-05-12,189306,38,Sony Music Labels Inc.,95.535
現役アイドルちゅ～,全部、内緒。 (Special Edition),=LOVE,2021-05-12,284466,39,Sony Music Labels Inc.,160.089
