trackNumber,title,releaseTitle,group,releaseType,releaseDate,composer,arranger,duration
,トリプルデート,トリプルデート,all,SINGLE,2022-07-20,,,243400
,The rock is you!,The rock is you!,joy,SINGLE,2026-02-12,,,227200
,≒JOY,≒JOY,joy,SINGLE,2022-07-03,,,286433
,僕たちの歌,「僕たちの歌」,joy,SINGLE,2026-04-03,,,195271
,いま、月は満ちる,いま、月は満ちる,joy,SINGLE,2025-08-17,,,282748
1,Overture,きっと、絶対、絶対,joy,ALBUM,,APAZZI,APAZZI,1:31
2,無謀人,きっと、絶対、絶対,joy,ALBUM,,YU-JIN、SHIN,YU-JIN、SHIN,3:13
3,≒JOY,きっと、絶対、絶対,joy,ALBUM,,鈴木裕明,古川貴浩,4:47
4,笑って フラジール,きっと、絶対、絶対,joy,ALBUM,,Haggy Rock,佐藤厚仁,3:55
5,超孤独ライオン,きっと、絶対、絶対,joy,ALBUM,,鈴木裕明,鈴木裕明,4:25
6,スイートシックスティーン,きっと、絶対、絶対,joy,ALBUM,,中村歩、菊池博人,中村歩、菊池博人,3:29
7,今日も君の夢を見たんだ,きっと、絶対、絶対,joy,ALBUM,,本多友紀,脇眞富,4:28
8,大空、ビュンと,きっと、絶対、絶対,joy,ALBUM,,yuma,めんま,3:51
9,その先はイグザルト,きっと、絶対、絶対,joy,ALBUM,,高木龍一,APAZZI,4:43
10,きっと、青い,きっと、絶対、絶対,joy,ALBUM,,ヤナガワタカオ,ヤナガワタカオ,3:52
,Overture,きっと、絶対、絶対 (Special Edition),joy,ALBUM,2024-01-17,,,91813
,きっと、青い,きっと、絶対、絶対 (Special Edition),joy,ALBUM,2024-01-17,,,232040
,無謀人,きっと、絶対、絶対 (Special Edition),joy,ALBUM,2024-01-17,,,193386
,超孤独ライオン,はにかみショート <Special Edition>,joy,SINGLE,2022-11-23,,,265880
,スイートシックスティーン,スイートシックスティーン,joy,SINGLE,2023-02-22,,,209266
,ニアジョイ音頭,ニアジョイ音頭,joy,SINGLE,2025-10-15,,,207900
,ノンフィクション,ノンフィクション,joy,SINGLE,2026-04-03,,,253961
,0120お助け屋さん,ブルーハワイレモン,joy,SINGLE,2025-06-11,,,181800
,♡3ヶ月♡,ブルーハワイレモン,joy,SINGLE,2025-06-11,,,232520
,ブルーハワイレモン,ブルーハワイレモン,joy,SINGLE,2025-06-11,,,257920
,今、恋をしている,今、恋をしている,joy,SINGLE,2025-08-27,,,245602
,ネバギバ！生きろ,体育館ディスコ,joy,SINGLE,2024-06-12,,,294906
,体育館ディスコ,体育館ディスコ,joy,SINGLE,2024-06-12,,,226293
,夢見る♡アイドル,体育館ディスコ,joy,SINGLE,2024-06-12,,,241773
,だだだ、だって。,初恋シンデレラ,joy,SINGLE,2024-10-16,,,250146
,ピーチティーとピーチパイ,初恋シンデレラ,joy,SINGLE,2024-10-16,,,225040
,初恋シンデレラ,初恋シンデレラ,joy,SINGLE,2024-10-16,,,276693
,大空、ビュンと,大空、ビュンと,joy,SINGLE,2023-07-19,,,231973
,今日も君の夢を見たんだ,天使は何処へ <Special Edition>,joy,SINGLE,2023-04-12,,,268626
,その先はイグザルト,想わせぶりっこ <Special Edition>,joy,SINGLE,2023-09-06,,,283160
,笑って フラジール,笑って フラジール,joy,SINGLE,2022-09-28,,,235213
,愛が痛かった,電話番号教えて！,joy,SINGLE,2026-02-18,,,212120
,電話番号教えて！,電話番号教えて！,joy,SINGLE,2026-02-18,,,221933
,=LOVE,=LOVE,love,SINGLE,2017-09-06,,,247826
,スタート！,=LOVE,love,SINGLE,2017-09-06,,,291840
,記憶のどこかで,=LOVE,love,SINGLE,2017-09-06,,,261306
,Be Selfish,Be Selfish(Special Edition),love,SINGLE,2022-09-28,,,206613
,わたし、魔法使い,Be Selfish(Special Edition),love,SINGLE,2022-09-28,,,210053
,好きって、言えなかった,Be Selfish(Special Edition),love,SINGLE,2022-09-28,,,302586
,真夜中マーメイド,Be Selfish(Special Edition),love,SINGLE,2022-09-28,,,247426
,CAMEO,CAMEO,love,SINGLE,2020-07-08,,,255706
,My Voice Is For You,CAMEO,love,SINGLE,2020-07-08,,,242626
,君と私の歌,CAMEO,love,SINGLE,2020-07-08,,,323186
,BPM170の君へ,The 5th,love,SINGLE,2021-12-15,,,233893
,Poison Girl,The 5th,love,SINGLE,2021-12-15,,,180000
,The 5th,The 5th,love,SINGLE,2021-12-15,,,292506
,お姫様にしてよ！,The 5th,love,SINGLE,2021-12-15,,,235253
,Want you！Want you！,Want you！Want you！,love,SINGLE,2018-10-17,,,236400
,アイカツハッピーエンド,Want you！Want you！,love,SINGLE,2018-10-17,,,262092
,今、この船に乗れ！,Want you！Want you！,love,SINGLE,2018-10-17,,,226013
,あの子コンプレックス,あの子コンプレックス,love,SINGLE,2022-05-25,,,277586
,僕のヒロイン,あの子コンプレックス,love,SINGLE,2022-05-25,,,251493
,知らんけど,あの子コンプレックス,love,SINGLE,2022-05-25,,,211373
,笑顔のレシピ,あの子コンプレックス,love,SINGLE,2022-05-25,,,230586
,おかえり、花便り,おかえり、花便り,love,SINGLE,2023-03-28,,,281366
,Junkies,この空がトリガー(Special Edition),love,SINGLE,2023-02-22,,,277066
,Kiara Tiara,この空がトリガー(Special Edition),love,SINGLE,2023-02-22,,,198880
,この空がトリガー,この空がトリガー(Special Edition),love,SINGLE,2023-02-22,,,293066
,ラブクリエイト,この空がトリガー(Special Edition),love,SINGLE,2023-02-22,,,194400
,とくべチュ、して,とくべチュ、して ／ 恋人以上、好き未満,love,SINGLE,2025-02-26,,,239013
,恋人以上、好き未満 - Full Size,とくべチュ、して ／ 恋人以上、好き未満,love,SINGLE,2025-02-26,,,269440
,超特急逃走中,とくべチュ、して ／ 恋人以上、好き未満,love,SINGLE,2025-02-26,,,229560
,ウィークエンドシトロン,ウィークエンドシトロン,love,SINGLE,2021-08-25,,,244240
,ズッ友案件,ウィークエンドシトロン,love,SINGLE,2021-08-25,,,210466
,夏祭り恋慕う,ウィークエンドシトロン,love,SINGLE,2021-08-25,,,288413
,祝祭,ウィークエンドシトロン,love,SINGLE,2021-08-25,,,292533
,Sweetest girl,ズルいよ ズルいね,love,SINGLE,2019-10-30,,,273266
,ズルいよ ズルいね,ズルいよ ズルいね,love,SINGLE,2019-10-30,,,284546
,推しのいる世界,ズルいよ ズルいね,love,SINGLE,2019-10-30,,,301266
,だからとて,ナツマトペ(Special Edition),love,SINGLE,2023-07-19,,,304146
,ナツマトペ,ナツマトペ(Special Edition),love,SINGLE,2023-07-19,,,241400
,ヒロインズ,ナツマトペ(Special Edition),love,SINGLE,2023-07-19,,,249920
,ラブロケ,ナツマトペ(Special Edition),love,SINGLE,2023-07-19,,,207813
,どこが好きか言って,ラストノートしか知らない,love,SINGLE,2023-11-29,,,223906
,ドライブ　デート　都内,ラストノートしか知らない,love,SINGLE,2023-11-29,,,246613
,ラストノートしか知らない,ラストノートしか知らない,love,SINGLE,2023-10-19,,,312866
,狂想カタストロフィ,ラストノートしか知らない,love,SINGLE,2023-11-29,,,285386
,Queens,ラブソングに襲われる,love,SINGLE,2025-10-08,,,177160
,ラブソングに襲われる,ラブソングに襲われる,love,SINGLE,2025-10-08,,,218320
,木漏れ日メゾフォルテ,ラブソングに襲われる,love,SINGLE,2025-10-08,,,196533
,ようこそ！イコラブ沼,僕らの制服クリスマス,love,SINGLE,2017-12-06,,,243613
,僕らの制服クリスマス,僕らの制服クリスマス,love,SINGLE,2017-12-06,,,268946
,届いてLOVE YOU,僕らの制服クリスマス,love,SINGLE,2017-12-06,,,254293
,24/7,全部、内緒。 (Special Edition),love,ALBUM,2021-05-12,,,215213
,866,全部、内緒。 (Special Edition),love,ALBUM,2021-05-12,,,215566
,Oh！Darling,全部、内緒。 (Special Edition),love,ALBUM,2021-05-12,,,278546
,Overture,全部、内緒。 (Special Edition),love,ALBUM,2021-05-12,,,83386
,cinema,全部、内緒。 (Special Edition),love,ALBUM,2021-05-12,,,253626
,お姉さんじゃダメですか？,全部、内緒。 (Special Edition),love,ALBUM,2021-05-12,,,211613
,セノビーインラブ,全部、内緒。 (Special Edition),love,ALBUM,2021-05-12,,,189306
,拝啓 貴方様,全部、内緒。 (Special Edition),love,ALBUM,2021-05-12,,,235213
,桜の咲く音がした,全部、内緒。 (Special Edition),love,ALBUM,2021-05-12,,,274653
,現役アイドルちゅ～,全部、内緒。 (Special Edition),love,ALBUM,2021-05-12,,,284466
1,Overture,全部、内緒。（Special Edition）,love,ALBUM,,APAZZI,APAZZI,1:23
2,桜の咲く音がした,全部、内緒。（Special Edition）,love,ALBUM,,水流雄一朗、室屋優美、KIKI,湯浅篤,4:34
3,探せ ダイヤモンドリリー,全部、内緒。（Special Edition）,love,ALBUM,,ArmySlick、Yu-ki Kokubo、YHANAEL、YUU for YOU,ArmySlick、YUU for YOU,4:55
4,Oh!Darling,全部、内緒。（Special Edition）,love,ALBUM,,磯崎健史,清水哲平,4:38
5,青春“サブリミナル”,全部、内緒。（Special Edition）,love,ALBUM,,塚田耕平,古川貴浩,5:09
6,セノビーインラブ,全部、内緒。（Special Edition）,love,ALBUM,,NA.ZU.NA、Yu-ki Kokubo,ArmySlick、NA.ZU.NA,3:09
7,CAMEO,全部、内緒。（Special Edition）,love,ALBUM,,田尻知之、本澤尚之,田尻知之、本澤尚之,4:15
8,手遅れcaution,全部、内緒。（Special Edition）,love,ALBUM,,今井ひろし,倉内達矢,4:16
9,ズルいよ ズルいね,全部、内緒。（Special Edition）,love,ALBUM,,長沢知亜紀、永野小織,湯浅篤,4:44
10,「現役アイドルちゅ〜」(齊藤なぎさ),全部、内緒。（Special Edition）,love,ALBUM,,悠木真一,悠木真一,4:44
11,「拝啓 貴方様」(野口衣織),全部、内緒。（Special Edition）,love,ALBUM,,原一博,原一博,3:55
12,24/7,全部、内緒。（Special Edition）,love,ALBUM,,Daisy.O、The Answer、R!N、Ryo Ito,The Answer,3:35
13,お姉さんじゃダメですか?,全部、内緒。（Special Edition）,love,ALBUM,,菊池諒、RYOKO,若田部誠,3:31
14,Want you! Want you!,全部、内緒。（Special Edition）,love,ALBUM,,ArmySlick、Yu-ki Kokubo、YHANAEL、YUU for YOU,ArmySlick、YUU for YOU,3:56
15,cinema,全部、内緒。（Special Edition）,love,ALBUM,,YUU for YOU、Giz'Mo,YUU for YOU,4:13
16,僕らの制服クリスマス,全部、内緒。（Special Edition）,love,ALBUM,,加藤大和,湯浅篤,4:28
17,=LOVE,全部、内緒。（Special Edition）,love,ALBUM,,渡辺尚,古川貴浩,4:07
18,866,全部、内緒。（Special Edition）,love,ALBUM,,The Answer、伊藤涼、田辺望,The Answer,3:36
1,Overture,全部、内緒。（Type-A）,love,ALBUM,,APAZZI,APAZZI,1:23
2,桜の咲く音がした,全部、内緒。（Type-A）,love,ALBUM,,水流雄一朗、室屋優美、KIKI,湯浅篤,4:34
3,探せ ダイヤモンドリリー,全部、内緒。（Type-A）,love,ALBUM,,ArmySlick、Yu-ki Kokubo、YHANAEL、YUU for YOU,ArmySlick、YUU for YOU,4:55
4,Oh!Darling,全部、内緒。（Type-A）,love,ALBUM,,磯崎健史,清水哲平,4:38
5,青春“サブリミナル”,全部、内緒。（Type-A）,love,ALBUM,,塚田耕平,古川貴浩,5:09
6,セノビーインラブ,全部、内緒。（Type-A）,love,ALBUM,,NA.ZU.NA、Yu-ki Kokubo,ArmySlick、NA.ZU.NA,3:09
7,CAMEO,全部、内緒。（Type-A）,love,ALBUM,,田尻知之、本澤尚之,田尻知之、本澤尚之,4:15
8,手遅れcaution,全部、内緒。（Type-A）,love,ALBUM,,今井ひろし,倉内達矢,4:16
9,ズルいよ ズルいね,全部、内緒。（Type-A）,love,ALBUM,,長沢知亜紀、永野小織,湯浅篤,4:44
10,「現役アイドルちゅ〜」(齊藤なぎさ),全部、内緒。（Type-A）,love,ALBUM,,悠木真一,悠木真一,4:44
11,24/7,全部、内緒。（Type-A）,love,ALBUM,,Daisy.O、The Answer、R!N、Ryo Ito,The Answer,3:35
12,お姉さんじゃダメですか?,全部、内緒。（Type-A）,love,ALBUM,,菊池諒、RYOKO,若田部誠,3:31
13,Want you! Want you!,全部、内緒。（Type-A）,love,ALBUM,,ArmySlick、Yu-ki Kokubo、YHANAEL、YUU for YOU,ArmySlick、YUU for YOU,3:56
14,cinema,全部、内緒。（Type-A）,love,ALBUM,,YUU for YOU、Giz'Mo,YUU for YOU,4:13
15,僕らの制服クリスマス,全部、内緒。（Type-A）,love,ALBUM,,加藤大和,湯浅篤,4:28
16,=LOVE,全部、内緒。（Type-A）,love,ALBUM,,渡辺尚,古川貴浩,4:07
1,Overture,全部、内緒。（Type-B）,love,ALBUM,,APAZZI,APAZZI,1:23
2,桜の咲く音がした,全部、内緒。（Type-B）,love,ALBUM,,水流雄一朗、室屋優美、KIKI,湯浅篤,4:34
3,探せ ダイヤモンドリリー,全部、内緒。（Type-B）,love,ALBUM,,ArmySlick、Yu-ki Kokubo、YHANAEL、YUU for YOU,ArmySlick、YUU for YOU,4:55
4,Oh!Darling,全部、内緒。（Type-B）,love,ALBUM,,磯崎健史,清水哲平,4:38
5,青春“サブリミナル”,全部、内緒。（Type-B）,love,ALBUM,,塚田耕平,古川貴浩,5:09
6,セノビーインラブ,全部、内緒。（Type-B）,love,ALBUM,,NA.ZU.NA、Yu-ki Kokubo,ArmySlick、NA.ZU.NA,3:09
7,CAMEO,全部、内緒。（Type-B）,love,ALBUM,,田尻知之、本澤尚之,田尻知之、本澤尚之,4:15
8,手遅れcaution,全部、内緒。（Type-B）,love,ALBUM,,今井ひろし,倉内達矢,4:16
9,ズルいよ ズルいね,全部、内緒。（Type-B）,love,ALBUM,,長沢知亜紀、永野小織,湯浅篤,4:44
10,「拝啓 貴方様」(野口衣織),全部、内緒。（Type-B）,love,ALBUM,,原一博,原一博,3:55
11,24/7,全部、内緒。（Type-B）,love,ALBUM,,Daisy.O、The Answer、R!N、Ryo Ito,The Answer,3:35
12,お姉さんじゃダメですか?,全部、内緒。（Type-B）,love,ALBUM,,菊池諒、RYOKO,若田部誠,3:31
13,Want you! Want you!,全部、内緒。（Type-B）,love,ALBUM,,ArmySlick、Yu-ki Kokubo、YHANAEL、YUU for YOU,ArmySlick、YUU for YOU,3:56
